pid,latitude,longitude,height
3m8ox4t4Gf,51.109398,17.065557,119.8
3m8ox4tLJf,51.10951,17.065425,121.0
3m8ox4tLJh,51.109521,17.065513,119.5
3m8ox4tLJi,51.109532,17.065603,120.9
3m8ox4tcMd,51.109598,17.065102,118.7
3m8ox4tcMh,51.109632,17.065377,120.5
3m8ox4tcMi,51.109636,17.065414,119.4
3m8ox4tcMj,51.109647,17.0655,120.7
3m8ox4tcMk,51.109652,17.065549,120.2
3m8ox4tcMm,51.109665,17.065653,119.5
3m8ox4tcMn,51.109674,17.06573,120.3
3m8ox4tcMo,51.109677,17.065754,118.7
3m8ox4tcMq,51.109699,17.065935,121.6
3m8ox4ttPd,51.109707,17.064948,118.9
3m8ox4ttPe,51.109712,17.06499,118.1
3m8ox4ttPj,51.109753,17.065324,119.8
3m8ox4ttPk,51.109764,17.065421,121.5
3m8ox4ttPl,51.109774,17.065503,122.6
3m8ox4ttPm,51.109779,17.06554,121.6
3m8ox4ttPn,51.109784,17.065585,120.9
3m8ox4ttPp,51.109798,17.065696,120.5
3m8ox4ttPq,51.109801,17.065722,119.0
3m8ox4ttPs,51.109819,17.065868,120.2
3m8ox4ttPv,51.109848,17.066109,123.2
3m8ox4uASb,51.109807,17.064723,121.3
3m8ox4uASd,51.10982,17.064827,120.6
3m8ox4uASf,51.109833,17.064935,120.1
3m8ox4uASg,51.109841,17.065,120.4
3m8ox4uASk,51.109869,17.065231,120.0
3m8ox4uASl,51.109876,17.065286,119.8
3m8ox4uASq,51.109919,17.065642,122.6
3m8ox4uASu,51.109946,17.065865,121.9
3m8ox4uASz,51.109978,17.066129,120.3
3m8ox4uRVX,51.109887,17.064333,121.5
3m8ox4uRVd,51.109927,17.064657,120.0
3m8ox4uRVf,51.109945,17.064805,121.4
3m8ox4uRVg,51.109948,17.064832,119.8
3m8ox4uRVi,51.109966,17.064978,121.1
3m8ox4uRVl,51.109987,17.065156,121.1
3m8ox4uRVm,51.109991,17.065187,119.8
3m8ox4uRVt,51.110055,17.065717,125.1
3m8ox4uRVv,51.110058,17.06574,120.6
3m8ox4uRVw,51.110072,17.065856,123.2
3m8ox4uRVx,51.110069,17.065833,119.4
3m8ox4uRVy,51.110082,17.065936,121.4
3m8ox4uRVz,51.110085,17.065958,119.6
3m8ox4uRW2,51.110108,17.066149,120.3
3m8ox4uiYb,51.11002,17.064374,119.7
3m8ox4uiYe,51.110043,17.064563,120.1
3m8ox4uiYg,51.110051,17.064629,117.7
3m8ox4uiYk,51.110088,17.064937,121.0
3m8ox4uiYl,51.110094,17.064984,120.4
3m8ox4uiYy,51.110193,17.065799,122.4
3m8ox4uiYz,51.110197,17.065833,121.2
3m8ox4uiZ1,51.110211,17.065952,121.2
3m8ox4uiZ5,51.110235,17.066147,119.2
3m8ox4uzbY,51.110118,17.064132,124.0
3m8ox4uzbZ,51.110114,17.064099,119.7
3m8ox4uzba,51.110135,17.06427,124.9
3m8ox4uzbb,51.11014,17.064313,124.2
3m8ox4uzbc,51.110147,17.064368,123.9
3m8ox4uzbg,51.11017,17.06456,121.8
3m8ox4uzbh,51.110172,17.064573,119.6
3m8ox4uzbj,51.110189,17.06472,121.0
3m8ox4uzbk,51.110189,17.064714,117.9
3m8ox4uzbn,51.110227,17.065029,124.3
3m8ox4uzbp,51.110234,17.065084,121.3
3m8ox4uzbq,51.11024,17.06514,121.1
3m8ox4uzbs,51.110249,17.065211,118.9
3m8ox4uzby,51.110303,17.065656,123.0
3m8ox4uzc0,51.110314,17.065748,121.7
3m8ox4uzc1,51.110328,17.065859,124.2
3m8ox4uzc3,51.110328,17.065864,118.8
3m8ox4uzc4,51.110338,17.065942,119.7
3m8ox4uzc5,51.110346,17.066014,120.3
3m8ox4uzc7,51.110364,17.066159,121.5
3m8ox4uzcB,51.110388,17.066359,119.7
3m8ox4vGeY,51.110228,17.063984,124.4
3m8ox4vGee,51.110277,17.064389,126.7
3m8ox4vGef,51.110279,17.064408,124.8
3m8ox4vGeg,51.110281,17.064428,123.0
3m8ox4vGeh,51.11029,17.064497,123.4
3m8ox4vGei,51.110292,17.064512,121.4
3m8ox4vGej,51.110296,17.064546,120.1
3m8ox4vGer,51.110358,17.06506,122.0
3m8ox4vGes,51.110367,17.065131,122.5
3m8ox4vGeu,51.110375,17.065195,119.9
3m8ox4vGf2,51.110433,17.06568,120.4
3m8ox4vGf8,51.110478,17.066051,121.0
3m8ox4vGfA,51.110495,17.066186,121.8
3m8ox4vGfD,51.11051,17.066315,119.5
3m8ox4vGfM,51.110579,17.066883,121.0
3m8ox4vGfN,51.110583,17.066915,119.7
3m8ox4vXhL,51.110232,17.062973,120.7
3m8ox4vXhM,51.110235,17.062995,118.9
3m8ox4vXhS,51.110282,17.063379,120.2
3m8ox4vXhU,51.110303,17.063555,122.9
3m8ox4vXhV,51.110312,17.06363,123.6
3m8ox4vXhX,51.110324,17.063728,122.6
3m8ox4vXhZ,51.110337,17.063834,122.0
3m8ox4vXha,51.110351,17.063949,124.6
3m8ox4vXhb,51.110352,17.063957,122.2
3m8ox4vXhc,51.110364,17.064058,124.1
3m8ox4vXhd,51.110364,17.064061,121.5
3m8ox4vXhg,51.110385,17.064232,121.2
3m8ox4vXhh,51.110399,17.064344,123.6
3m8ox4vXhi,51.110404,17.064388,122.9
3m8ox4vXhj,51.110411,17.064448,122.9
3m8ox4vXhk,51.110415,17.064477,121.5
3m8ox4vXhl,51.110425,17.064558,122.5
3m8ox4vXhn,51.110434,17.064632,120.4
3m8ox4vXi1,51.110536,17.065476,121.0
3m8ox4vXi2,51.110542,17.06552,120.2
3m8ox4vXi3,51.110545,17.065546,118.6
3m8ox4vXi8,51.110584,17.065871,120.0
3m8ox4vXiB,51.11061,17.066089,121.8
3m8ox4vXiD,51.11063,17.066248,123.7
3m8ox4vXiF,51.110634,17.06628,119.7
3m8ox4vXiG,51.110642,17.066348,120.0
3m8ox4vXiL,51.110683,17.066686,121.9
3m8ox4vXiO,51.110705,17.06687,122.2
3m8ox4vXiP,51.110705,17.06687,119.4
3m8ox4vokL,51.110338,17.062788,119.4
3m8ox4vokM,51.11035,17.062893,121.5
3m8ox4vokP,51.110369,17.063045,120.2
3m8ox4vokW,51.110426,17.063517,122.9
3m8ox4vokX,51.110438,17.063614,124.6
3m8ox4vokZ,51.110447,17.063688,122.5
3m8ox4voka,51.110456,17.063763,123.3
3m8ox4vokc,51.110466,17.063844,121.5
3m8ox4vokg,51.110503,17.064153,124.8
3m8ox4vokh,51.11051,17.064214,124.9
3m8ox4vokp,51.110557,17.064598,120.6
3m8ox4voks,51.110577,17.064761,119.9
3m8ox4vokt,51.110585,17.064831,120.4
3m8ox4vol3,51.110659,17.065434,120.8
3m8ox4vol4,51.110665,17.065489,120.6
3m8ox4vol8,51.110697,17.065748,121.6
3m8ox4volB,51.11072,17.06594,122.2
3m8ox4volC,51.110725,17.065979,121.3
3m8ox4volD,51.110734,17.066053,121.9
3m8ox4volE,51.110736,17.066073,120.1
3m8ox4volG,51.110756,17.06624,122.3
3m8ox4volH,51.110758,17.066253,120.2
3m8ox4volI,51.110766,17.066315,120.3
3m8ox4volM,51.110804,17.066633,124.1
3m8ox4volO,51.110816,17.066731,123.0
3m8ox4volS,51.110837,17.066905,120.1
3m8ox4volT,51.110847,17.066985,121.0
3m8ox4w5l7,51.109456,17.054479,122.1
3m8ox4w5nO,51.110472,17.062848,121.2
3m8ox4w5nP,51.110482,17.062931,122.3
3m8ox4w5nR,51.110489,17.062985,119.3
3m8ox4w5nV,51.110528,17.063309,123.3
3m8ox4w5nX,51.110538,17.06339,121.5
3m8ox4w5nZ,51.110545,17.063444,118.4
3m8ox4w5nc,51.110573,17.06368,121.2
3m8ox4w5nd,51.11058,17.063739,121.1
3m8ox4w5ne,51.110591,17.063827,122.5
3m8ox4w5no,51.110659,17.064384,120.7
3m8ox4w5np,51.110669,17.06447,122.0
3m8ox4w5nr,51.110676,17.064524,118.9
3m8ox4w5nu,51.1107,17.064725,120.0
3m8ox4w5nv,51.110707,17.064779,119.7
3m8ox4w5o4,51.110776,17.065348,121.3
3m8ox4w5o5,51.110782,17.065397,120.8
3m8ox4w5o9,51.110813,17.065654,121.7
3m8ox4w5oC,51.110829,17.065787,119.6
3m8ox4w5oF,51.110852,17.065974,120.0
3m8ox4w5oG,51.110862,17.066057,121.1
3m8ox4w5oH,51.11087,17.066127,121.6
3m8ox4w5oI,51.11088,17.06621,122.7
3m8ox4w5oR,51.110944,17.066736,122.3
3m8ox4w5oS,51.110951,17.066793,122.2
3m8ox4w5oU,51.11097,17.066953,124.1
3m8ox4w5oV,51.110971,17.066962,121.7
3m8ox4w5oX,51.110985,17.067074,121.4
3m8ox4wMoM,51.109666,17.055156,119.3
3m8ox4wMoW,51.10975,17.055852,124.0
3m8ox4wMoX,51.109757,17.055902,123.6
3m8ox4wMqJ,51.11054,17.062354,119.3
3m8ox4wMqL,51.110564,17.062557,123.3
3m8ox4wMqM,51.110565,17.062561,120.7
3m8ox4wMqN,51.110582,17.062703,124.5
3m8ox4wMqQ,51.110597,17.062821,121.7
3m8ox4wMqT,51.110613,17.062954,119.6
3m8ox4wMqW,51.110635,17.063135,119.7
3m8ox4wMqX,51.110652,17.063281,123.8
3m8ox4wMqY,51.110658,17.063325,123.1
3m8ox4wMqc,51.110682,17.063527,121.3
3m8ox4wMqd,51.110686,17.063561,120.1
3m8ox4wMqe,51.110692,17.063609,119.6
3m8ox4wMqq,51.110784,17.064368,121.8
3m8ox4wMqt,51.110797,17.064474,118.4
3m8ox4wMqw,51.110826,17.06471,121.1
3m8ox4wMqx,51.110832,17.064765,120.9
3m8ox4wMqy,51.110845,17.064867,122.9
3m8ox4wMqz,51.110849,17.064898,121.5
3m8ox4wMr0,51.110851,17.064919,119.7
3m8ox4wMr8,51.110916,17.065456,122.6
3m8ox4wMrD,51.110948,17.065719,121.0
3m8ox4wMrF,51.110959,17.06581,119.7
3m8ox4wMrI,51.110986,17.066031,121.7
3m8ox4wMrU,51.111071,17.066735,121.3
3m8ox4wMrV,51.111081,17.066816,122.3
3m8ox4wMrW,51.111089,17.066877,122.3
3m8ox4wMra,51.111115,17.067095,121.4
3m8ox4wMrd,51.111134,17.067254,120.5
3m8ox4wdrG,51.109737,17.054691,121.6
3m8ox4wdrH,51.109741,17.054724,120.4
3m8ox4wdro,51.109986,17.056741,122.9
